pmid,doi,title,journal,year,access_tier,status,pdf_path,attempts,notes
38597338,,Corticosteroids for the prevention and treatment of bronchopulmonary dysplasia: an overview of systematic reviews.,,2024,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;05_inhaled_budesonide;06_school_age_adult; in_evidence_table=yes
41007103,,Steroid Use for Established Bronchopulmonary Dysplasia: A Systematic Review and Meta-Analysis.,,2025,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;05_inhaled_budesonide;06_school_age_adult; in_evidence_table=yes
39223342,,Systemic steroids and bronchopulmonary dysplasia: a systematic review and meta-analysis.,,2026,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
37650547,,"Systemic corticosteroids for the prevention of bronchopulmonary dysplasia, a network meta-analysis.",,2023,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;05_inhaled_budesonide;06_school_age_adult; in_evidence_table=yes
39787118,,Efficacy of pulmonary surfactant with budesonide in premature infants: A systematic review and meta-analysis.,,2025,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;05_inhaled_budesonide; in_evidence_table=yes
41359352,,Hydrocortisone in Preterm Infants and School-Age Functional Outcomes: Follow-Up of a Randomized Clinical Trial.,,2026,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused;06_school_age_adult; in_evidence_table=yes
35564997,,Systemic Steroids in Preventing Bronchopulmonary Dysplasia (BPD): Neurodevelopmental Outcome According to the Risk of BP,,2022,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;03_rcts;04_hydrocortisone_focused;05_inhaled_budesonide;06_school_age_adult; in_evidence_table=yes
36436670,,Use of budesonide associated with a pulmonary surfactant to prevent bronchopulmonary dysplasia in premature newborns - A,,2023,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts;05_inhaled_budesonide;06_school_age_adult; in_evidence_table=yes
37166345,,"Trends, Characteristic, and Outcomes of Preterm Infants Who Received Postnatal Corticosteroid: A Cohort Study from 7 Hig",,2023,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;01_core;04_hydrocortisone_focused;05_inhaled_budesonide;06_school_age_adult; in_evidence_table=yes
33720274,,Assessment of Postnatal Corticosteroids for the Prevention of Bronchopulmonary Dysplasia in Preterm Neonates: A Systemat,,2021,tier1_open_abstract_or_indexed_fulltext,verified_for_narrative_synthesis,,Europe PMC/PubMed metadata plus available full text where accessible,angles=01_core;02_systematic_reviews;03_rcts;04_hydrocortisone_focused;05_inhaled_budesonide;06_school_age_adult; in_evidence_table=yes
