record_id,pmid,doi,title,year,source_database,screening_round,decision,reason_code,confidence,reviewer,conflict_status,fulltext_status,citation_scope,notes
PNCS-IN-0001,41958207,10.3345/cep.2026.00108,Optimal postnatal corticosteroid regimens to prevent bronchopulmonary dysplasia with minimal adverse effects.,2026,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;04_hydrocortisone_focused;05_inhaled_budesonide;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0002,42205720,10.3389/fped.2026.1840133,Real-world use of hydrocortisone and dexamethasone in the prevention and treatment of bronchopulmonary dysplasia in preterm infants &lt;32 weeks: a nine-year cohort study.,2026,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0003,40360237,10.1136/archdischild-2024-328438,Postnatal dexamethasone treatment for preterm infants at high risk for bronchopulmonary dysplasia is associated with improved regional brain volumes: a prospective cohort study.,2025,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0004,41589747,10.1097/mop.0000000000001544,Postnatal corticosteroids and bronchopulmonary dysplasia: balancing pulmonary and neurologic effects to enable individualized decision-making.,2026,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;02_systematic_reviews;04_hydrocortisone_focused; screen_result=abstract_pass
PNCS-IN-0005,41359352,10.1001/jamapediatrics.2025.4801,Hydrocortisone in Preterm Infants and School-Age Functional Outcomes: Follow-Up of a Randomized Clinical Trial.,2026,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;03_rcts;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0006,39694682,10.1136/archdischild-2024-327360,Postnatal betamethasone treatment in extremely preterm infants and risk of neurodevelopmental impairment: a cohort study.,2025,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0007,40722975,10.3390/antiox14070869,Inhaled and Systemic Steroids for Bronchopulmonary Dysplasia: Targeting Inflammation and Oxidative Stress.,2025,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;04_hydrocortisone_focused;05_inhaled_budesonide;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0008,39607113,10.31744/einstein_journal/2024ao0849,Temporal trends of the use of dexamethasone for the treatment of bronchopulmonary dysplasia in very low-birth-weight preterm infants: a single-center evaluation.,2024,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core; screen_result=abstract_pass
PNCS-IN-0009,40090543,10.1016/j.jpeds.2025.114535,"Patent Ductus Arteriosus, Hydrocortisone, and Outcome among Infants Born Extremely Preterm: Secondary Analysis of the Hydrocortisone Trial.",2025,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;04_hydrocortisone_focused;05_inhaled_budesonide;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0010,40471988,10.1371/journal.pone.0323454,Differential linear brain growth patterns in preterm neonates based on birth gestational age and steroid exposure: A retrospective chart review.,2025,MED,title_abstract,candidate_include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,title_abstract_candidate_not_cited,candidate_supporting,angles=01_core;04_hydrocortisone_focused;05_inhaled_budesonide;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0011,40983658,10.1038/s41372-025-02428-5,Neurodevelopmental outcome in infants with neonatal encephalopathy receiving hydrocortisone during therapeutic hypothermia: follow-up of the extended-CORTISoL trial.,2025,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;04_hydrocortisone_focused; screen_result=abstract_pass
PNCS-IN-0012,40987824,10.1038/s41390-025-04426-x,Total hydrocortisone dosage in extremely low birth weight infants and neurodevelopment up to school age.,2026,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;04_hydrocortisone_focused;06_school_age_adult; screen_result=abstract_pass
PNCS-IN-0013,39556404,10.1001/jamapediatrics.2024.4575,"Systemic Postnatal Corticosteroids, Bronchopulmonary Dysplasia, and Survival Free of Cerebral Palsy.",2025,MED,title_abstract,include,pico_relevant,medium,Codex/AI-assisted single reviewer,none,fulltext_or_indexed_record_verified,core_evidence_table,angles=01_core;03_rcts;04_hydrocortisone_focused; screen_result=abstract_pass
